id_municipio;Entidad;vozfijat212;vozfijat213;vozfijat214;vozfijat215;vozfijat216;vozfijat217;vozfijat218;vozfijat219;vozfijat220;vozfijat221;vozfijat222;vozfijat223;vozfijat224;vozfijat225;vozfijat226;vozfijat227;vozfijat228;vozfijat229;vozfijat230;vozfijat231;vozfijat232;vozfijat233;vozfijat234;vozfijat235
5001;Medellín;.36308268;.35980099;.3565183;.35323718;.34996513;.34671211;.34348676;.34029961;.33716097;.33407885;.33106038;.32811141;.32523429;.3224276;.31968573;.31700343;.3143757;.3117972;.30926156;.30676112;.30428767;.30183348;.29939061;.29695022
5002;Abejorral;.082870789;.081361257;.079849549;.078332312;.076806344;.075268507;.073716074;.072146684;.070558988;.068953335;.067332596;.065702252;.064067252;.062432077;.060800292;.059174407;.057556335;.055947632;.054349389;.052762136;.051182795;.04960949;.048039686;.046471179
5004;Abriaquí;.045409482;.044731677;.044052958;.043371558;.042685442;.041993484;.041295789;.040592887;.039885189;.03917332;.038458966;.03774491;.03703266;.036322478;.035614219;.034907646;.03420331;.033501938;.032805305;.032112885;.031423014;.030734695;.030047227;.029360116
5021;Alejandría;.086351164;.084860168;.083367914;.081871867;.080367826;.07885059;.07731507;.075757086;.074174613;.072568089;.070940793;.069298737;.067647465;.06599322;.064341523;.062697232;.061065461;.059450369;.057854794;.056279216;.054718435;.053167436;.0516221;.05007894
5030;Amagá;.12852789;.12592757;.12332436;.12071404;.11809269;.11545707;.1128049;.110136;.10745308;.10476249;.10207597;.099410005;.096777707;.094189309;.091652051;.08916977;.086743198;.084370047;.082045645;.079764456;.077513993;.0752827;.073060453;.070841521
5031;Amalfi;.059689593;.058308274;.056925382;.055538256;.05414401;.052739974;.051323961;.049894962;.048453614;.047002994;.045548722;.044098902;.04265999;.041237105;.039833531;.03845083;.037089206;.035747796;.034425195;.033119772;.031825945;.030539462;.029256782;.027975369
5034;Andes;.089281879;.087233864;.085184254;.08313106;.081073247;.079010099;.076942526;.074872881;.072805196;.070746437;.068707958;.066706084;.064754292;.062863648;.061042126;.059294343;.057621945;.056024034;.054497145;.053035431;.051625956;.050255805;.048911713;.047580596
5036;Angelópolis;.033621132;.032645442;.031671531;.030702755;.0297432;.028797634;.02787197;.026970778;.026097799;.025256176;.024448643;.023677645;.022944512;.022249676;.021592455;.020971157;.02038282;.019823076;.01928675;.018768156;.018261066;.017760605;.017263122;.016766585
5038;Angostura;.035547145;.034567341;.033586856;.032604832;.031620912;.030635674;.029651089;.028671084;.027699221;.026739186;.025795111;.024871953;.023972765;.023098871;.022249749;.02142366;.020618273;.019830933;.019059138;.018299948;.017549483;.016805047;.016063999;.015324243
5040;Anorí;.035841405;.03485588;.033870004;.032883152;.03189503;.030905509;.029914971;.028924698;.027936259;.02695179;.02597446;.025008377;.024056641;.023121763;.022205286;.021307824;.020429235;.019568805;.018725328;.017897036;.017080154;.016271101;.015466538;.014663699
